data;unidade;produto_variedade;classificacao;tipo;origem;embalagem;conv_kg;preco_minimo;preco_comum;preco_maximo;preco_comum_kg
2026-01-05;São José;Abacate Avocado;;Convenci;Nacional;Caixa;10;150.0;150.0;160.0;15.0
2026-01-05;São José;Abacate Avocado;;Convenci;Importado;Caixa;10;140.0;150.0;150.0;15.0
2026-01-05;São José;Abacate Liso(a);Grande;Convenci;Nacional;Caixa;20;180.0;200.0;200.0;10.0
2026-01-05;São José;Abacaxi;Médio(a);Convenci;Nacional;Caixa;1,2;5.0;5.0;5.5;4.17
2026-01-05;São José;Abacaxi Ananas;Grande;Convenci;Nacional;Unidade;1,7;8.0;8.0;8.0;4.71
2026-01-05;São José;Abacaxi Perola;Grande;Convenci;Nacional;Unidade;1,7;8.0;8.0;8.5;4.71
2026-01-05;São José;Abobora Abobrinha Italiana;;Convenci;Nacional;Caixa;18;20.0;25.0;30.0;1.39
2026-01-05;São José;Abobora Kabutiá;;Convenci;Nacional;Saco;20;35.0;38.0;38.0;1.9
2026-01-05;São José;Abobora Menina;;Convenci;Nacional;Saco;20;38.0;40.0;50.0;2.0
2026-01-05;São José;Abobora Moranga;;Convenci;Nacional;Saco;20;25.0;30.0;35.0;1.5
2026-01-05;São José;Abobora Paulista;;Convenci;Nacional;Saco;20;25.0;30.0;34.0;1.5
2026-01-05;São José;Acelga;Grande;Convenci;Nacional;Unidade;2,5;3.0;3.0;4.0;1.2
2026-01-05;São José;Acerola;;Convenci;Nacional;Caixa;2;85.0;85.0;85.0;42.5
2026-01-05;São José;Agrião;;Convenci;Nacional;Maço;0,2;1.3;1.5;1.8;7.5
2026-01-05;São José;Aipim;;Convenci;Nacional;Caixa;23;60.0;60.0;70.0;2.61
2026-01-05;São José;Alcachofra Comum;;Convenci;Nacional;Caixa;2;13.0;15.0;15.0;7.5
2026-01-05;São José;Alecrim;;Convenci;Nacional;Maço;0,1;2.0;2.0;2.5;20.0
2026-01-05;São José;Alface Americana;;Convenci;Nacional;Unidade;0,3;1.8;2.0;2.5;6.67
2026-01-05;São José;Alface Crespa;;Convenci;Nacional;Unidade;0,3;1.5;1.8;2.0;6.0
2026-01-05;São José;Alface Liso(a);;Convenci;Nacional;Unidade;0,3;1.5;1.8;2.0;6.0
2026-01-05;São José;Alfavaca;;Convenci;Nacional;Molho;0,2;1.3;1.5;1.8;7.5
2026-01-05;São José;Alho Nobre;Tipo 4;Convenci;Nacional;Caixa;10;125.0;125.0;130.0;12.5
2026-01-05;São José;Alho Nobre;Tipo 5;Convenci;Nacional;Caixa;10;145.0;150.0;150.0;15.0
2026-01-05;São José;Alho Nobre;Tipo 6;Convenci;Nacional;Caixa;10;160.0;160.0;165.0;16.0
2026-01-05;São José;Alho Nobre;Tipo 6;Convenci;Importado;Caixa;10;140.0;145.0;145.0;14.5
2026-01-05;São José;Alho Nobre;Tipo 7;Convenci;Nacional;Caixa;10;170.0;170.0;175.0;17.0
2026-01-05;São José;Alho Nobre;Tipo 8;Convenci;Nacional;Caixa;10;185.0;190.0;190.0;19.0
2026-01-05;São José;Alho Poró;;Convenci;Nacional;Maço;2,5;28.0;30.0;30.0;12.0
2026-01-05;São José;Almeirão;;Convenci;Nacional;Maço;0,2;1.3;1.5;1.8;7.5
2026-01-05;São José;Ameixa;;Convenci;Nacional;Caixa;10;85.0;90.0;105.0;9.0
2026-01-05;São José;Ameixa;;Convenci;Importado;Caixa;9;120.0;120.0;160.0;13.33
2026-01-05;São José;Amendoim Com Casca;;Convenci;Nacional;Saco;25;250.0;250.0;250.0;10.0
2026-01-05;São José;Amendoim Sem Casca;;Convenci;Nacional;Saco;25;250.0;250.0;250.0;10.0
2026-01-05;São José;Amora;;Convenci;Nacional;Bandeja;0,1;3.5;3.5;3.5;35.0
2026-01-05;São José;Arroz;;Convenci;Nacional;Kilo;1;6.48;6.48;6.48;6.48
2026-01-05;São José;Aspargo;;Convenci;Nacional;Maço;0,45;24.0;24.0;24.0;53.33
2026-01-05;São José;Açafrão;;Convenci;Nacional;Kilo;1;10.0;10.0;12.0;10.0
2026-01-05;São José;Açúcar Branco(a);;Convenci;Nacional;Kilo;1;4.29;4.29;4.29;4.29
2026-01-05;São José;Açúcar Mascavo;;Convenci;Nacional;Kilo;1;11.0;11.0;12.0;11.0
2026-01-05;São José;Banana Branco(a);;Convenci;Nacional;Caixa;20;70.0;80.0;80.0;4.0
2026-01-05;São José;Banana Branco(a);;Organico;Nacional;Kilo;1;4.5;5.0;5.0;5.0
2026-01-05;São José;Banana Caturra;;Convenci;Nacional;Caixa;20;60.0;70.0;80.0;3.5
2026-01-05;São José;Banana Figo;;Convenci;Nacional;Caixa;10;35.0;45.0;45.0;4.5
2026-01-05;São José;Banana Maça;;Convenci;Nacional;Caixa;18;145.0;180.0;225.0;10.0
2026-01-05;São José;Banha;;Convenci;Nacional;Kilo;1;12.5;12.5;13.5;12.5
2026-01-05;São José;Batata Aipo;;Convenci;Nacional;Caixa;10;25.0;30.0;30.0;3.0
2026-01-05;São José;Batata Cara;;Convenci;Nacional;Caixa;10;65.0;65.0;68.75;6.5
2026-01-05;São José;Batata Doce;;Convenci;Nacional;Caixa;20;40.0;50.0;50.0;2.5
2026-01-05;São José;Batata Doce PAULISTA;;Convenci;Nacional;Caixa;20;60.0;65.0;70.0;3.25
2026-01-05;São José;Batata Iacon;Comercial;Convenci;Nacional;Caixa;10;81.25;85.0;85.0;8.5
2026-01-05;São José;Batata Inglesa Comum;Diversa Lavada;Convenci;Nacional;Saco;25;38.0;40.0;45.0;1.6
2026-01-05;São José;Batata Inglesa Comum;;Convenci;Nacional;Saco;25;50.0;55.0;60.0;2.2
2026-01-05;São José;Batata Inglesa Comum;Especial Lavada;Convenci;Nacional;Saco;25;70.0;70.0;78.0;2.8
2026-01-05;São José;Batata Inglesa Mini;;Convenci;Nacional;Bandeja;0,7;4.0;4.0;4.0;5.71
2026-01-05;São José;Batata Inglesa Rosa;Especial;Convenci;Nacional;Saco;25;65.0;70.0;70.0;2.8
2026-01-05;São José;Bebidas Alcoolicas Cachaça;;Convenci;Nacional;Saco;1;6.0;7.0;8.0;7.0
2026-01-05;São José;Bebidas Alcoolicas Licor;;Convenci;Nacional;Litro;1;10.0;10.0;10.0;10.0
2026-01-05;São José;Bebidas Alcoolicas Vinho;;Convenci;Nacional;Litro;5;50.0;55.0;55.0;11.0
2026-01-05;São José;Berinjela;;Convenci;Nacional;Caixa;10;20.0;25.0;30.0;2.5
2026-01-05;São José;Beterraba;;Convenci;Nacional;Molho;1;2.5;3.0;3.0;3.0
2026-01-05;São José;Beterraba;;Convenci;Nacional;Caixa;20;50.0;55.0;65.0;2.75
2026-01-05;São José;Broto Alfafa;;Convenci;Nacional;Bandeja;0,5;4.5;4.5;5.0;9.0
2026-01-05;São José;Broto Bambu;;Convenci;Nacional;Bandeja;0,5;20.0;20.0;20.0;40.0
