data;cidade;estado;regiao;lat;lon;temp_min;temp_max;temp_media;sensacao_min;sensacao_max;precipitacao_mm;chuva_mm;neve_cm;horas_precipitacao;horas_sol;radiacao_solar_mj;vento_max_kmh;rajada_max_kmh;direcao_vento_graus;evapotranspiracao_mm;codigo_tempo;geada;neve;granizo;tempestade;chuva_intensa;nascer_sol;por_sol;fase_lua;iluminacao_lua_pct
2025-01-01;Sao Jose;SC;Grande Florianopolis;-27.6138;-48.6358;21.0;29.0;24.8;24.4;33.8;1.2;1.2;0.0;5.0;9.94;24.57;16.0;40.3;3;4.87;53;0;0;0;0;0;05:23;19:13;Crescente;4.7
2025-01-02;Sao Jose;SC;Grande Florianopolis;-27.6138;-48.6358;23.0;29.0;25.1;26.3;33.5;4.0;4.0;0.0;3.0;9.03;17.36;17.8;41.0;344;3.49;61;0;0;0;0;0;05:23;19:13;Crescente;10.2
2025-01-03;Sao Jose;SC;Grande Florianopolis;-27.6138;-48.6358;20.7;35.3;25.9;22.7;40.7;0.3;0.3;0.0;2.0;13.13;28.21;21.5;56.9;181;5.95;51;0;0;0;0;0;05:24;19:14;Crescente;17.4
2025-01-04;Sao Jose;SC;Grande Florianopolis;-27.6138;-48.6358;20.9;29.6;24.3;23.8;33.3;0.5;0.5;0.0;3.0;12.43;25.03;20.1;48.6;140;5.18;51;0;0;0;0;0;05:25;19:14;Crescente;26.2
2025-01-05;Sao Jose;SC;Grande Florianopolis;-27.6138;-48.6358;18.0;28.0;23.1;19.3;32.5;1.4;1.4;0.0;7.0;11.32;23.68;13.3;35.3;170;4.87;51;0;0;0;0;0;05:25;19:14;Quarto Crescente;36.0
2025-01-06;Sao Jose;SC;Grande Florianopolis;-27.6138;-48.6358;20.9;27.0;23.6;23.7;29.3;0.6;0.6;0.0;4.0;12.0;21.96;14.6;36.0;140;4.55;51;0;0;0;0;0;05:26;19:14;Quarto Crescente;46.4
2025-01-07;Sao Jose;SC;Grande Florianopolis;-27.6138;-48.6358;19.2;27.5;23.8;20.9;30.3;0.1;0.1;0.0;1.0;12.87;23.91;12.4;33.5;149;4.95;51;0;0;0;0;0;05:27;19:14;Quarto Crescente;57.1
2025-01-08;Sao Jose;SC;Grande Florianopolis;-27.6138;-48.6358;20.1;25.2;22.4;22.4;27.6;10.5;10.5;0.0;16.0;9.41;15.46;10.1;29.5;160;3.06;63;0;0;0;0;0;05:28;19:14;Quarto Crescente;67.3
2025-01-09;Sao Jose;SC;Grande Florianopolis;-27.6138;-48.6358;20.1;26.2;22.8;22.6;27.5;8.7;8.7;0.0;15.0;9.4;16.44;11.0;27.7;137;3.44;61;0;0;0;0;0;05:28;19:14;Gibosa Crescente;76.9
2025-01-10;Sao Jose;SC;Grande Florianopolis;-27.6138;-48.6358;19.7;28.0;24.0;21.2;30.5;0.1;0.1;0.0;1.0;12.55;22.94;12.3;32.0;96;4.86;51;0;0;0;0;0;05:29;19:14;Gibosa Crescente;85.2
