data;cidade;regiao;lat;lon;temp_min;temp_max;temp_media;sensacao_min;sensacao_max;precipitacao_mm;chuva_mm;neve_cm;horas_precipitacao;horas_sol;radiacao_solar_mj;vento_max_kmh;rajada_max_kmh;direcao_vento_graus;evapotranspiracao_mm;codigo_tempo;geada;neve;granizo;tempestade;chuva_intensa;nascer_sol;por_sol;fase_lua;iluminacao_lua_pct;dias_a_frente;data_execucao
2026-09-04;Chapeco;Oeste Catarinense;-27.1008;-52.6161;15.2;22.2;17.8;15.0;23.7;4.4;1.2;0;12.0;7.95;11.43;11.8;24.5;187;2.13;80;0;0;0;0;0;06:40;18:18;Quarto Minguante;46.9;0;2026-09-04
2026-09-05;Chapeco;Oeste Catarinense;-27.1008;-52.6161;10.9;19.6;14.9;7.9;16.7;0.0;0.0;0;0.0;6.72;13.18;15.4;33.1;152;3.06;3;0;0;0;0;0;06:39;18:19;Quarto Minguante;36.5;1;2026-09-04
2026-09-06;Chapeco;Oeste Catarinense;-27.1008;-52.6161;6.0;14.3;9.5;1.6;12.3;0.0;0.0;0;0.0;11.0;19.91;15.7;37.1;154;3.1;2;0;0;0;0;0;06:38;18:19;Minguante;26.6;2;2026-09-04
2026-09-07;Chapeco;Oeste Catarinense;-27.1008;-52.6161;3.7;18.6;10.6;-0.8;17.7;0.0;0.0;0;0.0;11.0;20.62;17.5;34.6;115;3.37;2;0;0;0;0;0;06:36;18:20;Minguante;17.8;3;2026-09-04
2026-09-08;Chapeco;Oeste Catarinense;-27.1008;-52.6161;8.9;22.2;15.6;6.7;21.6;0.0;0.0;0;0.0;11.0;18.28;10.4;29.5;18;3.25;3;0;0;0;0;0;06:35;18:20;Minguante;10.5;4;2026-09-04
2026-09-09;Chapeco;Oeste Catarinense;-27.1008;-52.6161;13.1;23.4;17.8;12.5;24.0;17.2;5.1;0;14.0;10.7;16.3;12.7;30.2;47;2.98;95;0;0;0;1;0;06:34;18:21;Minguante;4.9;5;2026-09-04
2026-09-10;Chapeco;Oeste Catarinense;-27.1008;-52.6161;15.5;24.1;19.5;15.5;24.9;21.5;8.8;0;18.0;9.68;15.7;16.1;39.2;14;2.87;95;0;0;0;1;1;06:33;18:21;Lua Nova;1.3;6;2026-09-04
2026-09-11;Chapeco;Oeste Catarinense;-27.1008;-52.6161;14.2;21.1;18.8;11.6;21.5;61.0;16.6;0;24.0;7.26;10.23;27.4;84.2;340;1.38;96;0;0;1;1;1;06:32;18:21;Lua Nova;0.0;7;2026-09-04
2026-09-12;Chapeco;Oeste Catarinense;-27.1008;-52.6161;7.6;13.0;9.8;4.5;10.1;1.4;1.0;0;10.0;2.23;10.13;25.7;64.4;230;1.66;51;0;0;0;0;0;06:31;18:22;Lua Nova;0.9;8;2026-09-04
2026-09-13;Chapeco;Oeste Catarinense;-27.1008;-52.6161;6.1;14.1;8.9;2.4;12.2;0.0;0.0;0;0.0;11.27;22.9;13.1;27.4;157;3.29;3;0;0;0;0;0;06:30;18:22;Crescente;4.1;9;2026-09-04
2026-09-14;Chapeco;Oeste Catarinense;-27.1008;-52.6161;4.7;20.5;11.9;0.2;19.1;0.0;0.0;0;0.0;11.33;22.86;15.8;33.1;76;3.86;2;0;0;0;0;0;06:28;18:23;Crescente;9.3;10;2026-09-04
2026-09-15;Chapeco;Oeste Catarinense;-27.1008;-52.6161;10.5;22.6;16.2;8.3;24.0;4.4;1.0;0;8.0;10.94;16.78;9.9;34.9;58;3.05;95;0;0;0;1;0;06:27;18:23;Crescente;16.3;11;2026-09-04
2026-09-16;Chapeco;Oeste Catarinense;-27.1008;-52.6161;13.2;22.6;16.8;11.4;23.9;49.6;5.2;0;24.0;10.64;14.88;18.4;36.7;100;2.68;96;0;0;1;1;1;06:26;18:24;Crescente;24.9;12;2026-09-04
2026-09-17;Chapeco;Oeste Catarinense;-27.1008;-52.6161;12.3;18.8;15.4;11.2;20.6;56.4;10.6;0;22.0;3.56;8.61;15.8;36.7;100;1.41;95;0;0;0;1;1;06:25;18:24;Quarto Crescente;34.5;13;2026-09-04
2026-09-18;Chapeco;Oeste Catarinense;-27.1008;-52.6161;7.9;22.6;17.2;6.1;22.6;0.0;0.0;0;0.0;9.16;15.46;10.0;37.9;207;2.86;3;0;0;0;0;0;06:24;18:25;Quarto Crescente;44.9;14;2026-09-04
2026-09-19;Chapeco;Oeste Catarinense;-27.1008;-52.6161;6.0;14.4;10.4;4.3;14.3;0.3;0.3;0;3.0;2.23;4.37;6.2;28.8;106;0.85;51;0;0;0;0;0;06:23;18:25;Quarto Crescente;55.6;15;2026-09-04
2026-09-04;Lages;Serra Catarinense;-27.8181;-50.3261;10.9;20.1;15.2;9.8;19.8;3.7;1.3;0;5.0;7.78;12.77;13.9;35.3;241;2.17;81;0;0;0;0;0;06:31;18:09;Quarto Minguante;46.9;0;2026-09-04
2026-09-05;Lages;Serra Catarinense;-27.8181;-50.3261;8.2;19.1;13.4;5.5;19.2;0.4;0.4;0;3.0;5.81;11.71;16.4;37.4;126;2.31;51;0;0;0;0;0;06:30;18:09;Quarto Minguante;36.5;1;2026-09-04
2026-09-06;Lages;Serra Catarinense;-27.8181;-50.3261;3.3;12.2;7.6;0.2;9.2;0.0;0.0;0;0.0;10.55;19.72;16.8;39.2;204;2.85;3;0;0;0;0;0;06:29;18:10;Minguante;26.6;2;2026-09-04
2026-09-07;Lages;Serra Catarinense;-27.8181;-50.3261;1.6;14.1;7.7;-1.1;12.5;0.0;0.0;0;0.0;10.23;17.74;16.9;35.6;52;2.68;3;0;0;0;0;0;06:27;18:10;Minguante;17.8;3;2026-09-04
2026-09-08;Lages;Serra Catarinense;-27.8181;-50.3261;6.4;18.8;11.8;2.8;18.2;0.0;0.0;0;0.0;9.24;16.84;15.6;35.6;49;2.78;3;0;0;0;0;0;06:26;18:10;Minguante;10.5;4;2026-09-04
2026-09-09;Lages;Serra Catarinense;-27.8181;-50.3261;10.2;22.9;15.4;8.7;23.2;3.3;0.9;0;5.0;9.34;16.72;12.8;27.7;64;3.04;53;0;0;0;0;0;06:25;18:11;Minguante;4.9;5;2026-09-04
2026-09-10;Lages;Serra Catarinense;-27.8181;-50.3261;13.7;23.8;17.5;13.1;24.1;2.7;1.3;0;3.0;4.14;11.08;12.0;26.3;30;2.19;53;0;0;0;0;0;06:24;18:11;Lua Nova;1.3;6;2026-09-04
2026-09-11;Lages;Serra Catarinense;-27.8181;-50.3261;16.1;21.6;18.1;14.8;21.7;55.2;15.8;0;22.0;2.28;6.53;23.4;55.1;359;1.21;96;0;0;1;1;1;06:23;18:12;Lua Nova;0.0;7;2026-09-04
2026-09-12;Lages;Serra Catarinense;-27.8181;-50.3261;6.8;15.0;10.1;3.1;12.7;0.0;0.0;0;0.0;4.53;10.8;32.3;71.6;247;2.01;3;0;0;0;0;0;06:22;18:12;Lua Nova;0.9;8;2026-09-04
2026-09-13;Lages;Serra Catarinense;-27.8181;-50.3261;3.4;12.2;7.2;-0.3;9.4;0.0;0.0;0;0.0;11.58;23.39;16.0;42.8;206;3.41;3;0;0;0;0;0;06:20;18:13;Crescente;4.1;9;2026-09-04
2026-09-14;Lages;Serra Catarinense;-27.8181;-50.3261;1.7;15.0;8.2;-1.8;12.1;0.0;0.0;0;0.0;11.6;22.56;16.2;45.7;49;3.26;1;0;0;0;0;0;06:19;18:13;Crescente;9.3;10;2026-09-04
2026-09-15;Lages;Serra Catarinense;-27.8181;-50.3261;6.7;20.3;12.5;3.4;20.4;6.6;1.8;0;8.0;9.7;17.23;15.5;35.3;49;2.78;95;0;0;0;1;0;06:18;18:14;Crescente;16.3;11;2026-09-04
2026-09-16;Lages;Serra Catarinense;-27.8181;-50.3261;11.6;20.7;14.9;10.7;21.3;25.2;11.8;0;24.0;10.07;12.57;9.7;32.0;60;2.22;95;0;0;0;1;1;06:17;18:14;Crescente;24.9;12;2026-09-04
2026-09-17;Lages;Serra Catarinense;-27.8181;-50.3261;10.1;14.4;12.2;7.9;13.1;41.6;9.8;0;24.0;1.95;8.37;18.5;48.6;53;1.1;81;0;0;0;0;1;06:16;18:15;Quarto Crescente;34.5;13;2026-09-04
2026-09-18;Lages;Serra Catarinense;-27.8181;-50.3261;7.5;20.3;14.7;5.0;18.9;1.6;0.6;0;16.0;9.1;13.42;15.0;35.3;221;2.39;51;0;0;0;0;0;06:15;18:15;Quarto Crescente;44.9;14;2026-09-04
2026-09-19;Lages;Serra Catarinense;-27.8181;-50.3261;3.9;14.2;8.9;1.8;13.1;0.0;0.0;0;0.0;11.7;20.15;14.9;38.9;46;2.65;3;0;0;0;0;0;06:14;18:16;Quarto Crescente;55.6;15;2026-09-04
2026-09-04;Sao Jose;Grande Florianopolis;-27.6138;-48.6358;14.0;20.2;16.4;14.7;20.2;1.6;1.3;0;6.0;8.89;14.98;16.8;38.9;140;2.38;53;0;0;0;0;0;06:24;18:02;Quarto Minguante;46.9;0;2026-09-04
2026-09-05;Sao Jose;Grande Florianopolis;-27.6138;-48.6358;14.7;18.3;16.3;13.2;17.4;0.1;0.1;0;1.0;0.32;6.15;15.0;32.8;165;1.59;51;0;0;0;0;0;06:23;18:03;Quarto Minguante;36.5;1;2026-09-04
